,account,0x98Afac3b663113D29dc2Cd8C2d1d14793692F110,mvs_transfer_in,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x55d398326f99059ff775485246999027b3197955,0xba2ae424d960c26247dd6c32edc70b295c744c43,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,external_approve,liquidity_method
0,0xe0e049ac6f5aa0a6f311c573001248d3a514f825,0,0,-8263070419727715613,0,0,4701022646397022,False,False
1,0x910634800928e775b1464aa68ad84745a32bf48c,41416244572884485934442,0,-56914416680533893763,0,0,0,False,False
2,0x3412ba7f44398f78a666a8575ecdb40809ba08fd,0,0,6942224681529406053,0,0,0,False,False
3,0x14b4ac3d20079884132ad967232004e59e224eee,6209083642562439219988,0,-44000000000000000000,0,0,0,False,False
4,0x92bbf407aee1d5a34637317b5d7783f4905f1ffb,0,0,-753785681456425219,0,0,0,False,False
5,0x3bfb875fcb509e924842db85a8ea5ff2515b88e4,36228075397026571860186548,101686933018171684901868,18185369950935189746956,0,0,0,False,False
6,0xf18546e892ba3982dd7f94bcf73a1cea1e9135ca,0,0,73877484388094774,0,0,0,False,False
7,0x141e75f89401401028b6355da14fecf06e130bcc,0,0,56683704542131246828,0,0,0,False,False
8,0x2ddef2d930461ab46dce76c0fc120c6b7dbf853e,139869120345522408112843,0,-196336016478158913059,0,0,0,False,False
9,0xc3f0b6ff62029f0a7f7b8ee0374ecf1f6fc11a4b,1673392996571421030293014,303749304709015558131,-7608680799983538025199,0,0,0,False,False
10,0xa2b7450c2c928e3155d9ad96066fdb6e2d92ee63,374594774375254759087109,-374594774375254759087109,-906035846338738991314,0,0,0,False,False
11,0xb3f168f925c9c016d13ea13c14483a79668a2f9b,0,0,-10469317984779518926,0,0,0,False,False
12,0xe25003eb2bee84566199d6f687cab663aaa5125c,32813457427174227433237,0,-130031118159636978574,0,0,0,False,False
13,0x953bdfbda93d06f5d32e40080d699e252d44a0f8,0,0,2217418034315099820479,0,0,0,False,False
14,0x4abbc0cad078b095e43f5bf86226c6a1bf062836,0,0,1261753888891823458,0,0,0,False,False
15,0x3c9ae6baa225f5eb10da7575d1d54f7e034cb94d,25251127438227417921875,0,-20000000000000000000,0,0,0,False,False
16,0xb077e241407fe77cf0797c973f254e328add7f0c,17398113822387673137845455,1489962943958274262338021,-23877376256514438613516,0,0,0,False,False
17,0xf3fccfbd954cf31063fa76268b17e7942aa97403,0,0,212853949102831601801,0,0,0,False,False
18,0x5bbacaed638b71ca114cc7f9774fc3a0b12b6c14,0,119275151369449120612,-179475188469014554311,0,0,0,False,False
