address,topic0,topic1,topic2,data,blockNumber,timeStamp,gasPrice,logIndex,transactionHash,transactionIndex
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x0000000000000000000000000504f52d1026c8ad152cd3ca92c4c669fa91d422,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x0000000000000000000000006d573b50efd352d3b4d8486f1db8041405a9fd7f00000000000000000000000000000000000000000000000000000000000a6269,14276248,1641916814,5500000000,233,0x5185aebf00364218e3fa90a2f58434ec4bad512f6307f6c725f6bb090ee6cbdf,85
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x0000000000000000000000005f12e4fea7d6c69619dfb52b42e6b95e6dbe0f8b,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x000000000000000000000000130ccc6603423cd56f825afb12b048e2b960a83000000000000000000000000000000000000000000000000000000000000a626a,14276253,1641916829,5000000000,1259,0x0b471812f550b3dbbe2546b353b4d2ac92fa701d3e731dcd33202c5d8b2e56c5,418
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x00000000000000000000000014ad65a9e778ab666581e7a315ae8ed5c70f0384,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x000000000000000000000000504257ce8a346b2ae259343139df8fa6da1db65b00000000000000000000000000000000000000000000000000000000000a626c,14276280,1641916910,5000000000,208,0xc5dfb9b93847d2f9da045326fee17e65ddc06fec14938a5803025ae395e77c5f,106
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x00000000000000000000000019c461760877acaedc676aa9a796f733c1cab74d,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x0000000000000000000000008e45a07e6dc4e053ac3421503bb1120f67f0e31c00000000000000000000000000000000000000000000000000000000000a626d,14276296,1641916958,5000000000,506,0x27e5b2697836e63f7839f090273337b4ed7576f80ad505ee22771ead9f5c3e23,192
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x000000000000000000000000d806868e245fb26c632c852964754544f3ec4a8b,0x000000000000000000000000b562aa4f857631a53439cc4d3adee1cb28ba752b00000000000000000000000000000000000000000000000000000000000a626e,14276310,1641917000,5000000000,237,0x364d99662aa5aaf43a4c05235e2c7ba7d875742995a73c045d0a15e2e9ca7ac1,80
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x0000000000000000000000007efc63f6c0d55ad5d680aa7200b77f628a6bf688,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x000000000000000000000000e0e1d701e999bd955087f46fd3a75cdd2fbf502000000000000000000000000000000000000000000000000000000000000a626f,14276316,1641917018,5050000000,506,0x782bc9bd2e2eb102905b4406c2fffd4fd9efbc65849bd38772058d6176ec6d3c,152
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x000000000000000000000000285010da439d6c16de4ee33331615a768ea32cd6,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x000000000000000000000000a7e6e1311e7b0d0fd67ed18b1e5cd2ecee6ab8c400000000000000000000000000000000000000000000000000000000000a6270,14276319,1641917027,6000000000,105,0x157f3d7fb64aa5b44fb3dab046cf1c0baf4e95f5f0b8730d991ce8e8278800a7,35
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x00000000000000000000000018622ba1c0f8323178e6c6770e4fc1cb05f7fc53,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x0000000000000000000000005cf8cc1fb9d0ea68f1b2e3bd6ad8f8b08c4ffaa200000000000000000000000000000000000000000000000000000000000a6271,14276328,1641917054,5000000000,1126,0xc8dd91bff010e0e3f3ed16f02f32ef0d435ee8cb6d9590ecba2cf8ed0729178d,361
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x00000000000000000000000024c6cb3bb43f1732e7ffb7fc8405f8e99bb29574,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x000000000000000000000000e12ddbe8b5722100f18cbaf616ae526cb68865d700000000000000000000000000000000000000000000000000000000000a6272,14276329,1641917057,5000000000,599,0x56b2a4dcb01ce1d3ad814b9a9be0da3df584cc546d2a01a7f477259f4df40988,175
0xca143ce32fe78f1f7019d7d551a6402fc5350c73,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x0000000000000000000000006ab79b65dd1400ad477d3d1a6160894479c628ff,0x000000000000000000000000bb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x0000000000000000000000003e86bf08e718933323c88b5b58ffc021cb9eae4100000000000000000000000000000000000000000000000000000000000a6273,14276330,1641917060,5000000000,619,0x15e6d021d4bf591da278d8c7953710d4241c9f2d6e69c8d0f092aec1f57a2594,214
